S0701_C01_001E,S0701_C01_002E,S0701_C01_003E,S0701_C01_004E,S0701_C01_005E,S0701_C01_006E,S0701_C01_009E,S0701_C01_012E,S0701_C01_022E,S0701_C01_026E,state,year,state_code,state_abbr
8424340,408757,1367538,826038,1170188,1114566,779502,4140882,798571,573849,51,2018,51,VA
1787630,75720,269303,161826,209002,218803,215290,886178,25569,14303,54,2018,54,WV
4849509,232921,799000,457530,637403,605739,505557,2341150,214494,76963,01,2019,01,AL
2989054,154577,515685,282336,386602,377184,303422,1461197,229531,57603,05,2019,05,AR
21269409,922820,3100807,1761280,2768060,2612250,2463083,10390602,5593166,2597624,12,2019,12,FL
10499808,522098,1863316,1034172,1458596,1401934,933722,5109800,1026385,502520,13,2019,13,GA
4421512,226969,728695,417406,576692,556896,454932,2175143,165943,83406,21,2019,21,KY
4595111,239294,791909,423707,643422,606785,446721,2240731,245994,81907,22,2019,22,LA
2943737,147085,518923,298065,368227,379610,289064,1416657,89018,28364,28,2019,28,MS
10371906,480405,1697389,1007035,1401663,1312661,1047490,5034343,1002945,369727,37,2019,37,NC
5092727,233550,822763,473210,670757,628604,571319,2457285,292561,122505,45,2019,45,SC
6754461,332313,1103726,624460,934878,849159,680190,3292668,379631,159295,47,2019,47,TN
8439982,404369,1357699,805157,1174655,1128152,809641,4151630,811721,576781,51,2019,51,VA
1773280,72681,267270,152243,211267,219899,217526,876749,26607,14764,54,2019,54,WV
4989797,240011,829851,468727,633583,637640,540223,2420596,230442,74431,01,2021,01,AL
2990311,144344,523869,284335,384776,383984,314630,1475349,242127,50828,05,2021,05,AR
21590684,901510,3195869,1731183,2738541,2728862,2593260,10620837,5770068,2772900,12,2021,12,FL
10688429,514832,1896155,1043171,1464846,1448368,996941,5212745,1065411,541421,13,2021,13,GA
4460646,210530,756177,416072,582979,573400,475760,2205614,173180,77493,21,2021,21,KY
4571302,229213,800085,424818,610641,621977,476748,2232852,250455,82621,22,2021,22,LA
2919574,142891,518603,289913,356944,383035,308553,1420076,92806,29125,28,2021,28,MS
10446881,478520,1716945,1005784,1376664,1350937,1106972,5094113,1050363,377929,37,2021,37,NC
5142137,227225,840203,476311,660935,651268,606552,2496998,322616,122751,45,2021,45,SC
6899165,321205,1140357,623070,939035,901748,732101,3371519,408636,151036,47,2021,47,TN
8557020,395738,1400826,817784,1156787,1178430,855903,4231732,865427,611328,51,2021,51,VA
1767792,73617,272608,156128,201957,222511,226586,878660,30118,13819,54,2021,54,WV
5022366,232134,826964,488344,652152,632416,546189,2434316,241125,79262,01,2022,01,AL
3007872,140000,518067,292181,385877,387640,315159,1487294,250028,56551,05,2022,05,AR
22043900,900427,3193544,1845519,2783761,2799499,2604014,10862116,5960185,2791630,12,2022,12,FL
10791161,499411,1884542,1074228,1483997,1469050,998558,5263524,1114829,589710,13,2022,13,GA
4462146,210269,744447,415931,587159,569323,477806,2206281,183362,79749,21,2022,21,KY
4537185,217881,787923,435260,592066,611300,472005,2223458,257438,85325,22,2022,22,LA
2907327,136573,506782,300650,351516,379896,309684,1408274,94639,26730,28,2022,28,MS
10588557,474076,1708436,1033925,1420429,1376684,1115768,5175641,1095048,404141,37,2022,37,NC
5228328,227120,835716,500570,663662,667920,608018,2540647,336946,133376,45,2022,45,SC
6976549,327425,1132918,648096,964188,909015,729543,3424678,431558,161739,47,2022,47,TN
8590803,388866,1380405,842750,1156622,1180820,858719,4251585,888668,648397,51,2022,51,VA
1758432,70745,264074,161047,207092,216666,224674,873674,33857,18768,54,2022,54,WV
5058397,237948,841627,479855,644517,649252,554008,2447320,285587,80185,01,2023,01,AL
3034111,143287,524080,288490,393194,399179,321230,1496517,274927,58095,05,2023,05,AR
22395466,907010,3256746,1809840,2814633,2901598,2681522,11007346,6124919,2835816,12,2023,12,FL
10909651,502174,1912598,1046760,1516617,1486916,1031064,5314581,1204988,625153,13,2023,13,GA
4477307,215786,747104,407142,595668,569759,484578,2217797,213507,88636,21,2023,21,KY
4524085,225972,787800,407420,589465,622533,483863,2208706,320739,91242,22,2023,22,LA
2907634,134959,508219,284309,350728,389028,311653,1406691,108430,26799,28,2023,28,MS
10719307,478555,1727760,1025440,1443771,1404906,1141720,5248863,1211358,433123,37,2023,37,NC
5319249,231524,856408,485923,677457,688903,621496,2577723,391721,135353,45,2023,45,SC
7046744,331287,1152328,631162,978478,935375,749345,3455650,522727,162316,47,2023,47,TN
8626985,388031,1395433,806182,1162172,1208026,880968,4258257,955458,662144,51,2023,51,VA
1753113,70495,264189,159210,206253,213616,225417,873771,37670,17074,54,2023,54,WV
